Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,43.200001,43.330002,41.549999,41.549999,41.163719,4958600
2021-01-12,41.750000,42.130001,41.270000,41.689999,41.302418,3855200
2021-01-13,41.750000,42.369999,41.509998,42.240002,41.847309,4376400
2021-01-14,42.470001,42.990002,41.980000,42.520000,42.124702,2593000
2021-01-15,42.520000,42.869999,42.099998,42.560001,42.164333,3407600
2021-01-18,42.790001,42.840000,41.759998,41.799999,41.411396,2761600
2021-01-19,42.040001,42.169998,41.160000,41.580002,41.193443,3215900
2021-01-20,41.799999,41.820000,40.709999,40.709999,40.331532,3984700
2021-01-21,40.770000,40.880001,39.939999,40.259998,39.885712,3239100
2021-01-22,40.160000,41.290001,39.500000,40.980000,40.599022,3766800
2021-01-26,40.959999,41.509998,40.310001,40.599998,40.222553,3689300
2021-01-27,40.450001,41.330002,40.290001,40.740002,40.361252,3792600
2021-01-28,40.790001,42.180000,40.619999,41.860001,41.470840,3839800
2021-01-29,41.349998,42.320000,40.799999,40.869999,40.490044,3459700
2021-02-01,41.369999,41.880001,40.720001,41.570000,41.183537,2289400
2021-02-02,42.009998,42.720001,41.820000,42.240002,41.847309,2445100
2021-02-03,42.380001,42.570000,41.419998,41.730000,41.342049,2751800
2021-02-04,41.889999,41.889999,40.330002,40.450001,40.073948,5507600
2021-02-05,40.619999,41.049999,39.939999,40.450001,40.073948,4080200
2021-02-08,40.500000,40.650002,39.560001,39.740002,39.370552,4020800
2021-02-09,41.759998,43.500000,41.639999,42.560001,42.164333,18026500
2021-02-10,42.650002,42.849998,41.040001,41.200001,40.816975,6943500
2021-02-11,41.200001,42.189999,41.180000,42.139999,41.748238,3925800
2021-02-12,42.110001,42.360001,41.580002,41.680000,41.292515,3043300
2021-02-17,null,null,null,null,null,null
2021-02-18,41.110001,41.299999,39.849998,39.889999,39.519154,6998000
2021-02-19,39.990002,40.299999,38.959999,39.250000,38.885105,6205600
2021-02-22,38.000000,38.230000,36.840000,37.580002,37.230633,8664400
2021-02-23,37.900002,38.689999,37.220001,37.980000,37.626911,3503600
2021-02-24,38.320000,39.540001,38.189999,38.369999,38.013283,6724200
2021-02-25,38.410000,39.000000,37.759998,37.990002,37.636818,3928400
2021-02-26,38.180000,38.320000,36.799999,36.799999,36.457882,6246700
2021-03-01,37.209999,37.230000,35.310001,35.430000,35.100616,6394500
2021-03-02,35.020000,36.639999,34.119999,36.290001,35.952621,6555900
2021-03-03,36.009998,37.220001,35.110001,36.980000,36.636208,5535500
2021-03-04,37.040001,39.049999,36.840000,38.290001,37.934029,6452100
2021-03-05,38.299999,38.389999,37.220001,37.500000,37.151375,3796300
2021-03-08,36.750000,38.970001,36.610001,37.220001,36.873978,10119100
2021-03-09,37.240002,37.480000,36.230000,36.490002,36.150764,2912500
2021-03-10,36.700001,37.560001,36.160000,37.299999,36.953232,3276300
2021-03-11,37.490002,39.180000,37.400002,38.799999,38.439285,3487800
2021-03-12,38.790001,39.450001,38.049999,38.650002,38.290684,3997400
2021-03-15,38.770000,40.709999,38.750000,39.580002,39.212036,7165500
2021-03-16,39.480000,40.099998,38.959999,39.259998,38.895008,2050300
2021-03-17,38.930000,41.709999,38.650002,41.529999,41.143906,6710400
2021-03-18,41.029999,42.770000,41.000000,42.200001,41.807678,6761300
2021-03-19,42.310001,43.119999,42.000000,42.840000,42.441730,4642600
2021-03-22,42.830002,42.830002,41.669998,42.389999,41.995911,3017000
2021-03-23,41.939999,42.720001,41.439999,41.700001,41.312328,3215900
2021-03-24,41.529999,41.889999,40.369999,40.610001,40.232460,8235800
2021-03-25,40.169998,41.080002,39.639999,40.860001,40.480137,4842100
2021-03-26,41.160000,41.529999,40.290001,40.869999,40.490044,4137700
2021-03-29,40.639999,41.279999,40.529999,40.889999,40.509857,3740100
2021-03-30,40.779999,41.470001,40.730000,41.150002,40.767441,2629000
2021-03-31,41.150002,41.730000,40.570000,41.200001,40.816975,2758500
2021-04-01,41.189999,41.590000,40.720001,41.000000,40.618835,1527400
2021-04-05,41.009998,41.980000,40.869999,41.790001,41.401493,2277300
2021-04-06,41.860001,42.200001,41.110001,41.759998,41.371769,2127900
2021-04-07,41.650002,41.869999,41.009998,41.380001,40.995304,2663300
2021-04-08,41.340000,42.099998,41.130001,41.849998,41.460930,2353200
2021-04-09,42.500000,43.889999,42.259998,42.980000,42.580425,5089000
2021-04-12,42.950001,43.380001,42.360001,42.970001,42.570522,2550200
2021-04-13,42.660000,42.889999,42.080002,42.610001,42.213867,2461000
2021-04-14,42.549999,42.790001,41.549999,41.849998,41.460930,4150100
2021-04-15,41.849998,42.520000,41.820000,42.509998,42.114796,1963800
2021-04-16,42.549999,43.270000,41.950001,42.990002,42.590336,4065100
2021-04-19,42.880001,43.299999,41.599998,41.740002,41.351955,3244200
2021-04-20,41.810001,42.950001,40.830002,42.299999,41.906750,3124300
2021-04-22,42.320000,43.299999,42.080002,42.770000,42.372379,3123600
2021-04-23,42.779999,43.299999,42.439999,42.639999,42.243587,1515400
2021-04-26,42.639999,43.060001,41.520000,41.900002,41.510468,1519400
2021-04-27,41.730000,41.880001,40.799999,40.830002,40.450417,1519400
2021-04-28,40.740002,41.220001,40.540001,41.009998,40.628738,1527000
2021-04-29,41.209999,43.200001,41.020000,42.799999,42.402100,5303700
2021-04-30,42.139999,43.400002,41.139999,42.779999,42.779999,7234300
2021-05-03,41.959999,42.169998,39.990002,40.000000,40.000000,8427500
2021-05-04,40.049999,40.080002,38.610001,38.740002,38.740002,3828500
2021-05-05,38.970001,39.259998,38.509998,39.060001,39.060001,2314400
2021-05-06,40.070000,41.240002,39.930000,40.980000,40.980000,5134500
2021-05-07,41.160000,41.919998,40.840000,41.889999,41.889999,2827800
2021-05-10,41.939999,42.020000,41.099998,41.520000,41.520000,1909400
2021-05-11,41.029999,42.099998,41.000000,41.419998,41.419998,2682000
2021-05-12,41.049999,41.189999,40.000000,40.029999,40.029999,2398300
2021-05-13,40.220001,41.590000,40.189999,41.220001,41.220001,2981100
2021-05-14,41.840000,42.400002,41.509998,42.250000,42.250000,4197600
2021-05-17,42.000000,42.560001,41.160000,41.709999,41.709999,1955700
2021-05-18,41.720001,42.160000,41.130001,41.779999,41.779999,1301300
2021-05-19,41.250000,42.220001,41.250000,41.650002,41.650002,1873400
2021-05-20,41.720001,42.040001,41.119999,41.560001,41.560001,2254200
2021-05-21,41.610001,41.849998,41.189999,41.560001,41.560001,1233200
2021-05-24,41.720001,42.340000,41.520000,42.200001,42.200001,1239200
2021-05-25,42.189999,42.590000,41.990002,42.099998,42.099998,1392900
2021-05-26,42.439999,42.980000,41.639999,41.779999,41.779999,1698300
2021-05-27,41.869999,42.209999,41.049999,41.950001,41.950001,3434100
2021-05-28,41.830002,42.020000,39.810001,39.959999,39.959999,5474700
2021-05-31,40.009998,40.040001,38.570000,39.130001,39.130001,4277000
2021-06-01,39.099998,39.520000,38.610001,38.799999,38.799999,5560900
2021-06-02,38.799999,39.240002,38.410000,39.230000,39.230000,4094900
2021-06-04,39.090000,39.290001,38.599998,39.020000,39.020000,3358900
2021-06-07,38.759998,39.340000,38.650002,38.790001,38.790001,1948400
2021-06-08,38.700001,38.919998,37.959999,38.389999,38.389999,4191800
2021-06-09,38.389999,38.560001,37.970001,38.090000,38.090000,2017200
2021-06-10,38.220001,38.470001,38.009998,38.290001,38.290001,1820000
2021-06-11,39.860001,40.139999,38.560001,39.310001,39.310001,5712300
